"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist spanish","(Spanish) Verify all the menu links on the ""Get Assistance"" tab","SKIPPED","2018-01-08T12:54:13.722-05:00[America/New_York]","0.0","42.56"
"Regression checklist spanish","(Spanish) Verify all the menu links on the ""Information"" tab","SKIPPED","2018-01-08T12:54:56.288-05:00[America/New_York]","0.0","40.62"
"Regression checklist spanish","(Spanish) Verify all the menu links on the ""About Us"" tab","SKIPPED","2018-01-08T12:55:36.919-05:00[America/New_York]","0.0","24.33"
"Regression checklist spanish","(Spanish) Verify all the menu links on the ""Help"" tab","SKIPPED","2018-01-08T12:56:01.254-05:00[America/New_York]","0.0","26.44"
"Regression checklist spanish","(Spanish) Verify the main links on homepage to assert that the Spanish pages open correctly","SKIPPED","2018-01-08T12:56:27.698-05:00[America/New_York]","0.0","28.38"
"Regression checklist spanish","(Spanish) Verify states in the Spanish declared disaster map are clickable","SKIPPED","2018-01-08T12:56:56.083-05:00[America/New_York]","0.0","10.16"
"Regression checklist spanish","(Spanish) Verify the declared states on the declared disaster map","SKIPPED","2018-01-08T12:57:06.248-05:00[America/New_York]","0.0","10.16"
"Regression checklist spanish","(Spanish) Verify Local Resources flows correctly on the Spanish homepage","SKIPPED","2018-01-08T12:57:16.406-05:00[America/New_York]","0.0","14.15"
"Regression checklist spanish","(Spanish) Verify all of the titles on the ""News Feeds"" landing page node","SKIPPED","2018-01-08T12:57:30.562-05:00[America/New_York]","0.0","10.14"
"Regression checklist spanish","(Spanish) Verify the results of the quick search items","SKIPPED","2018-01-08T12:57:40.699-05:00[America/New_York]","0.0","36.51"
"Regression checklist spanish","(Spanish) Verify Spanish benefits results display according to use cases","SKIPPED","2018-01-08T12:58:42.234-05:00[America/New_York]","0.0","13.16"
"Regression checklist spanish","(Spanish) Dynamically verify results of the questionnaire on the ""Find Assistance"" page","SKIPPED","2018-01-08T12:58:55.403-05:00[America/New_York]","0.0","28.25"
"Regression checklist spanish","(Spanish) Verify all the functionality of the FOA questionnaire","SKIPPED","2018-01-08T12:59:23.658-05:00[America/New_York]","0.0","50.5"
"Regression checklist spanish","(Spanish) Verify that the FEMA Twitter feed is present on the Spanish homepage","SKIPPED","2018-01-08T13:00:14.169-05:00[America/New_York]","0.0","10.13"
"Regression checklist spanish","(Spanish) Verify the Federal Agency filter on the Forms of Assistance page","SKIPPED","2018-01-08T13:01:23.48-05:00[America/New_York]","0.0","20.28"
"Regression checklist spanish","(Spanish) Verify the Federal Agency filter with the next seven types on the Forms of Assistance page","SKIPPED","2018-01-08T13:01:43.762-05:00[America/New_York]","0.0","20.26"
