"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-02-09T11:34:08.637-05:00[America/New_York]","0.0","54.79"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-02-09T11:35:03.495-05:00[America/New_York]","0.0","57.99"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-02-09T11:36:01.482-05:00[America/New_York]","0.0","13.61"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-02-09T11:36:15.097-05:00[America/New_York]","0.0","31.97"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-02-09T11:36:47.068-05:00[America/New_York]","0.0","17.31"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-02-09T11:37:04.376-05:00[America/New_York]","0.0","4.94"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-02-09T11:37:09.365-05:00[America/New_York]","0.0","68.49"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-02-09T11:38:17.91-05:00[America/New_York]","0.0","10.39"
"Regression checklist","News Feeds - All of the titles on the page","SUCCESS","2018-02-09T11:38:28.354-05:00[America/New_York]","0.0","3.91"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-02-09T11:38:32.315-05:00[America/New_York]","0.0","36.86"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-02-09T11:39:09.174-05:00[America/New_York]","0.0","10.62"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-02-09T11:39:19.843-05:00[America/New_York]","0.0","14.88"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-02-09T11:39:34.78-05:00[America/New_York]","0.0","25.69"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-02-09T11:40:00.527-05:00[America/New_York]","0.0","31.02"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-02-09T11:40:31.598-05:00[America/New_York]","0.0","5.98"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-02-09T11:40:37.635-05:00[America/New_York]","0.0","36.58"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-02-09T11:41:14.269-05:00[America/New_York]","0.0","30.91"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-02-09T11:41:45.235-05:00[America/New_York]","0.0","33.63"
"Regression checklist","Forms of Assistance - Federal Agency filter with the next seven types","SUCCESS","2018-02-09T11:42:18.919-05:00[America/New_York]","0.0","33.86"
"Regression checklist","Homepage - ""Apply Online"" DAC page includes mobile string","SKIPPED","2018-02-09T11:42:52.83-05:00[America/New_York]","0.0","0.03"
"Regression checklist","Homepage - ""Check Status"" DAC page includes mobile string","SKIPPED","2018-02-09T11:42:52.867-05:00[America/New_York]","0.0","0.02"
"Regression checklist","Homepage - ""Apply Online"" from the questionnaire DAC page includes mobile string","SKIPPED","2018-02-09T11:42:52.889-05:00[America/New_York]","0.0","0.01"
